DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF TRADES
04-Aug-25,EQ,"2,010.10","2,018.50","1,988.10","2,012.20","1,994.40","1,992.00","1,997.96","2,037.70","1,593.30",6966973,"13,91,97,56,957.20",248150
01-Aug-25,EQ,"2,014.00","2,028.30","2,009.30","2,018.20","2,016.90","2,012.20","2,015.24","2,037.70","1,593.30",5658629,"11,40,34,73,962.30",138595
31-Jul-25,EQ,"2,014.60","2,031.40","2,008.00","2,025.80","2,018.00","2,018.20","2,020.81","2,037.70","1,593.30",11091516,"22,41,37,95,872.20",199191
30-Jul-25,EQ,"2,028.00","2,032.60","2,017.00","2,021.60","2,025.90","2,025.80","2,023.94","2,037.70","1,593.30",7577018,"15,33,54,57,713.70",152763
29-Jul-25,EQ,"1,999.90","2,026.50","1,996.30","2,008.50","2,023.00","2,021.60","2,015.07","2,037.70","1,593.30",9947848,"20,04,56,35,384.90",234546
28-Jul-25,EQ,"2,003.00","2,021.40","2,000.50","2,004.60","2,009.90","2,008.50","2,011.08","2,037.70","1,593.30",6029790,"12,12,64,12,272.80",219624
25-Jul-25,EQ,"2,015.00","2,015.00","1,999.00","2,014.20","2,005.00","2,004.60","2,005.63","2,037.70","1,588.05",4653299,"9,33,28,02,398.80",163735
24-Jul-25,EQ,"2,037.70","2,037.70","2,008.40","2,024.30","2,011.70","2,014.20","2,019.12","2,037.70","1,588.05",9553588,"19,28,98,76,404.20",183573
23-Jul-25,EQ,"2,011.00","2,029.80","2,003.00","2,007.10","2,024.50","2,024.30","2,019.97","2,029.80","1,588.05",6817458,"13,77,10,89,884.70",191989
22-Jul-25,EQ,"2,013.10","2,018.00","2,003.00","2,000.50","2,005.00","2,007.10","2,009.05","2,027.10","1,588.05",7418407,"14,90,39,39,836.30",226727
21-Jul-25,EQ,"1,978.20","2,002.00","1,976.50","1,957.40","2,001.50","2,000.50","1,993.45","2,027.10","1,588.05",11154539,"22,23,60,41,336.40",275691
18-Jul-25,EQ,"1,986.90","1,997.00","1,953.00","1,986.90","1,956.00","1,957.40","1,968.80","2,027.10","1,588.05",8064723,"15,87,78,08,287.50",221823
17-Jul-25,EQ,"2,004.00","2,004.80","1,982.70","1,996.30","1,986.00","1,986.90","1,991.85","2,027.10","1,588.05",11264579,"22,43,74,06,105.60",256020
16-Jul-25,EQ,"2,018.00","2,022.70","1,992.60","1,995.50","1,996.00","1,996.30","2,005.54","2,027.10","1,588.05",8997306,"18,04,44,32,313.40",216845
15-Jul-25,EQ,"1,973.00","2,003.60","1,973.00","1,983.00","1,998.00","1,995.50","1,993.02","2,027.10","1,588.05",7249084,"14,44,75,99,382.10",157806
14-Jul-25,EQ,"1,983.00","1,988.70","1,970.60","1,983.70","1,982.90","1,983.00","1,978.80","2,027.10","1,588.05",6544425,"12,95,00,97,345.90",132854
11-Jul-25,EQ,"1,998.00","2,004.80","1,980.90","2,006.20","1,983.00","1,983.70","1,987.41","2,027.10","1,588.05",6258461,"12,43,81,53,798.20",125871
10-Jul-25,EQ,"2,016.00","2,017.00","2,000.00","2,011.20","2,002.80","2,006.20","2,008.54","2,027.10","1,588.05",8515155,"17,10,30,52,403.80",184619
09-Jul-25,EQ,"2,007.00","2,013.80","1,998.10","2,001.40","2,008.50","2,011.20","2,007.10","2,027.10","1,588.05",6930714,"13,91,06,45,549.40",151284
08-Jul-25,EQ,"1,977.00","2,005.00","1,977.00","1,987.40","1,999.40","2,001.40","1,992.88","2,027.10","1,588.05",7612158,"15,17,00,95,365.50",199823
07-Jul-25,EQ,"1,989.00","1,998.40","1,983.80","1,989.30","1,985.50","1,987.40","1,989.37","2,027.10","1,588.05",5674713,"11,28,90,78,543.00",163393
04-Jul-25,EQ,"1,987.10","2,003.50","1,980.00","1,987.10","1,992.70","1,989.30","1,987.51","2,027.10","1,588.05",3931972,"7,81,48,32,915.60",150676
03-Jul-25,EQ,"1,994.90","2,008.00","1,984.30","1,986.00","1,985.90","1,987.10","1,993.22","2,027.10","1,588.05",8430253,"16,80,33,71,805.60",182242
02-Jul-25,EQ,"2,019.90","2,019.90","1,977.90","2,012.10","1,985.50","1,986.00","1,990.25","2,027.10","1,588.05",9439125,"18,78,62,19,250.60",268429
01-Jul-25,EQ,"2,005.00","2,016.00","2,004.00","2,001.50","2,011.10","2,012.10","2,010.15","2,027.10","1,588.05",7194693,"14,46,24,21,818.60",169976
